district_name,season,area_next_year,yield_next_year,production_next_year,note
Bagalkot,kharif,17474.815,1.5146000000000006,26467.354799000008,OK
Bagalkot,rabi,0.0,0.0,0.0,No history
Bangalore rural,kharif,11.78,1.3666999999999963,16.099725999999954,OK
Bangalore rural,rabi,0.0,0.0,0.0,No history
Belgaum,kharif,8139.26,1.1848499999999975,9643.80221099998,OK
Belgaum,rabi,199.12,1.3100000000000016,260.8472000000003,OK
Bellary,kharif,7406.6,1.6778999999999988,12427.534139999992,OK
Bellary,rabi,575.555,1.3015000000000043,749.0848325000024,OK
Bengaluru urban,kharif,9.057666666666668,1.2807316666666626,11.600440526111075,OK
Bengaluru urban,rabi,0.0,0.0,0.0,No history
Bidar,kharif,472.805,0.8462000000000007,400.0875910000004,OK
Bidar,rabi,8.2975,1.2786500000000007,10.609598375000004,OK
Bijapur,kharif,24529.16,1.0673000000000028,26179.97246800007,OK
Bijapur,rabi,187.8,1.3100000000000016,246.0180000000003,OK
Chamarajanagar,kharif,277.935,1.1137000000000032,309.5362095000009,OK
Chamarajanagar,rabi,5.09,1.309100000000001,6.663319000000005,OK
Chikballapur,kharif,272.74,1.3311499999999987,363.0578509999997,OK
Chikballapur,rabi,15.2,1.3164000000000027,20.00928000000004,OK
Chikmagalur,kharif,14.21,1.362849999999996,19.366098499999943,OK
Chikmagalur,rabi,0.0,0.0,0.0,No history
Chitradurga,kharif,1145.685,0.48230000000000095,552.563875500001,OK
Chitradurga,rabi,64.72,1.3108000000000017,84.83497600000011,OK
Dakshin kannad,kharif,5.91,1.0620749999999983,6.27686324999999,OK
Dakshin kannad,rabi,0.0,0.0,0.0,No history
Davangere,kharif,311.555,0.9975500000000015,310.7916902500005,OK
Davangere,rabi,4.3875,1.3997250000000006,6.141293437500003,OK
Dharwad,kharif,13.395,1.2808500000000007,17.156985750000008,OK
Dharwad,rabi,18.36,1.209725000000002,22.210551000000034,OK
Gadag,kharif,926.71,0.9562499999999993,886.1664374999993,OK
Gadag,rabi,182.76,1.3084000000000018,239.12318400000032,OK
Gulbarga,kharif,1987.45,1.6186499999999966,3216.985942499993,OK
Gulbarga,rabi,64.0,1.3088000000000017,83.76320000000011,OK
Hassan,kharif,19.86,1.281149999999997,25.443638999999937,OK
Hassan,rabi,15.32,1.3084000000000051,20.04468800000008,OK
Haveri,kharif,13.09,1.3259999999999994,17.357339999999994,OK
Haveri,rabi,11.2,1.3276000000000048,14.869120000000052,OK
Kodagu,kharif,2.4325,1.23875,3.013259375,OK
Kodagu,rabi,0.0,0.0,0.0,No history
Kolar,kharif,54.26,1.3321,72.279746,OK
Kolar,rabi,4.64,1.0811999999999993,5.016767999999996,OK
Koppal,kharif,45199.335166666664,1.055625000000001,47713.54818531254,OK
Koppal,rabi,660.44,1.3100000000000016,865.1764000000011,OK
Mandya,kharif,9.25,1.0233000000000003,9.465525000000003,OK
Mandya,rabi,0.0,0.0,0.0,No history
Mysore,kharif,7.315,1.3488499999999977,9.866837749999984,OK
Mysore,rabi,1.0,1.0,1.0,OK
Raichur,kharif,27532.81,1.8208500000000012,50133.11708850003,OK
Raichur,rabi,4118.6,1.3100000000000016,5395.366000000007,OK
Ramanagara,kharif,8.136666666666667,1.1264133333333328,9.165249822222219,OK
Ramanagara,rabi,0.0,0.0,0.0,No history
Shimoga,kharif,1.94,1.0965250000000004,2.127258500000001,OK
Shimoga,rabi,0.0,0.0,0.0,No history
Tumkur,kharif,112.535,1.3010499999999974,146.4136617499997,OK
Tumkur,rabi,0.0,0.0,0.0,No history
Udupi,kharif,1.5225,1.0,1.5225,OK
Udupi,rabi,0.0,0.0,0.0,No history
Uttar kannad,kharif,1.9533333333333331,1.0517,2.0543206666666665,OK
Uttar kannad,rabi,0.0,0.0,0.0,No history
Vijayanagar,kharif,0.0,0.0,0.0,No history
Vijayanagar,rabi,0.0,0.0,0.0,No history
Yadgir,kharif,5359.52,2.1192500000000027,11358.162760000016,OK
Yadgir,rabi,1231.335,1.05535,1299.48939225,OK
