District,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),S.No.,Total Project Area,Plot Area,Protective Irrigation,Assured Irrigation,No Irrigation,Private,Government,Community,Others,Culturable Wasteland,Degraded Land,Rainfed Land,Plantation,No Plantation,Others.1,No Crops,Single Crops,Double Crops,Multiple Crops,Pre-Monsoon Normal (%),Pre-Monsoon Actual (%),Pre-Monsoon Departure (%),SWM Normal,SWM Actual,SWM Departure (%),NEM Normal (mm),NEM Actual (mm),NEM Departure(%),Total Normal (mm),Total Actual (mm),Total Departure (%),Normal/Excess
Bagalkot,6.514345794392523,,52.72789719626169,21.678322811850467,1,7500,7500,282.2,7.28,7210.52,7115.18,383.31,0,1.51,131.41,101.15,6924.28,0,312.54,30.62,71.77,6614.56,508.5,0,79.8,99,24,362,385,6,140.8,119.4,-15,582,603,4,N
Ballari,3.392570093457944,,30.430560747663552,22.184158951747666,2,5000,5000,4590.28,6,403.72,4588.89,404.95,6.16,0,0,77.19,4498.67,2.48,1,420.66,423.86,4560.66,12,0,74.5,72,-3,366,424,16,159.4,166.4,4,600,663,11,N
Belagavi,6.070981308411215,,51.83495327102804,26.955294252490653,3,21710,21720.91,20070.22,665.52,985.17,21232.65,457.82,28.98,1.46,77.36,42.51,20789.47,158.85,3.33,649.39,242.5,9462.86,11908.66,0,94.8,121.7,28,599,830,39,132.8,213.3,61,826,1165,41,E
Bengaluru Rural,5.977289719626168,,47.20934579439252,28.50715955719159,4,5990,3460.26,2.51,0,3457.75,2273.05,1013.01,136,38.2,59.44,0,2275.36,205,0,920.46,982.21,2273.05,0,0,141.5,151.5,7,444,412,-7,213.3,320.1,50,799,884,11,N
Bidar,5.772102803738318,,49.66495327102803,22.987021375205607,5,12617,10481.94,0,0,10481.94,9392.66,1039.8,39.71,0,120.24,8.9,9383.76,35.91,903.36,20,162.92,9202.52,180.7,0,71.2,71.9,1,650,679,4,116.6,87.9,-25,838,839,0,N
Chamarajanagar,4.1909345794392525,,33.28457943925233,30.60750654584112,6,13899.72,10424.9928,9485.9028,898.122,40.968,9136.272,0.528,1288.1928,0,0.4,24.542,8907.9708,1491.7,0,0.38,5.1308,8435.362,446.1,46.7,203.5,204.4,0,320,345,8,263,287.2,9,787,836,6,N
Chikballapur,3.085560747663551,,24.442429906542056,24.96390591206542,7,10961,8503.95,1386.91,2.66,7114.38,8498.51,0.44,0,0,0,9.31,7267.71,6.32,0,1215.61,80.21,7395.23,916.19,101,108.4,99,-9,416,381,-8,211.2,275.3,30,736,755,3,N
Chikkamagaluru,2.955607476635514,,23.20953271028037,32.07469326130841,8,11028,11049.73,5163.32,48.84,5837.57,10379.19,670.32,0,0.22,2,19.51,10127.37,0,0,900.85,910.86,10138.87,0,0,164.4,289.6,76,1447,1633,13,221.1,327.7,48,1833,2250,23,E
Chitradurga,3.5933177570093457,,27.928644859813083,23.70946373210748,9,10822,10328.62,3587.7,0.8,6740.12,8525.88,1701.03,101.71,0,1790.04,6.05,8531.73,0,0,0.8,1981.68,7894.56,448.4,3.98,103.3,150.3,45,282,323,14,154.8,225,45,540,698,29,E
Dakshina Kannada,0.5025700934579439,,4.829672897196262,31.748883371308413,10,9211,11506.71,2943.14,6086.64,2476.93,6252.24,5190.03,56.68,7.76,24.35,5.13,9227.13,138.75,2101.46,9.89,3436.01,3668,2164.25,8.24,242.5,386.9,60,3388,3756,11,375.9,522.9,39,4006,4666,16,N
