district_name,year,crop,season,area,production,yield
Bagalkot,2011 - 2012,arhar_tur,kharif,7437.0,1915.0,0.26
Bagalkot,2011 - 2012,bajra,kharif,33222.0,42396.0,1.28
Bagalkot,2011 - 2012,banana,whole_year,1135.0,14772.0,13.01
Bagalkot,2011 - 2012,cashewnut,whole_year,1.0,1.0,1.0
Bagalkot,2011 - 2012,castorseed,kharif,20.0,17.0,0.85
Bagalkot,2011 - 2012,coconut,whole_year,695.0,6909000.0,9941.01
Bagalkot,2011 - 2012,coriander,whole_year,164.0,67.0,0.41
Bagalkot,2011 - 2012,cotton,kharif,1007.0,2450.0,2.43
Bagalkot,2011 - 2012,cotton,rabi,874.0,928.0,1.06
Bagalkot,2011 - 2012,cowpea,kharif,524.0,277.0,0.53
Bagalkot,2011 - 2012,cowpea,rabi,940.0,331.0,0.35
Bagalkot,2011 - 2012,drychillies,kharif,2135.0,3095.0,1.45
Bagalkot,2011 - 2012,drychillies,rabi,605.0,587.0,0.97
Bagalkot,2011 - 2012,garlic,whole_year,13.0,16.0,1.23
Bagalkot,2011 - 2012,gram,rabi,75580.0,34571.0,0.46
Bagalkot,2011 - 2012,groundnut,kharif,3782.0,1945.0,0.51
Bagalkot,2011 - 2012,groundnut,rabi,22893.0,25946.0,1.13
Bagalkot,2011 - 2012,horse-gram,kharif,730.0,435.0,0.6
Bagalkot,2011 - 2012,horse-gram,rabi,926.0,262.0,0.28
Bagalkot,2011 - 2012,jowar,kharif,6439.0,14927.0,2.32
Bagalkot,2011 - 2012,jowar,rabi,104924.0,96699.0,0.92
Bagalkot,2011 - 2012,linseed,rabi,1758.0,635.0,0.36
Bagalkot,2011 - 2012,maize,kharif,55883.0,197044.0,3.53
Bagalkot,2011 - 2012,maize,rabi,24019.0,74159.0,3.09
Bagalkot,2011 - 2012,mesta,whole_year,4.0,5.0,1.25
Bagalkot,2011 - 2012,moong,kharif,42815.0,7443.0,0.17
Bagalkot,2011 - 2012,nigerseed,kharif,178.0,48.0,0.27
Bagalkot,2011 - 2012,onion,kharif,18304.0,141893.0,7.75
Bagalkot,2011 - 2012,onion,rabi,1561.0,17276.0,11.07
Bagalkot,2011 - 2012,other_kharif_pulses,kharif,442.0,124.0,0.28
Bagalkot,2011 - 2012,other_rabi_pulses,rabi,93.0,87.0,0.94
Bagalkot,2011 - 2012,rice,kharif,79.0,254.0,3.22
Bagalkot,2011 - 2012,safflower,rabi,2500.0,2225.0,0.89
Bagalkot,2011 - 2012,sesamum,kharif,1949.0,443.0,0.23
Bagalkot,2011 - 2012,small_millets,kharif,25.0,8.0,0.32
Bagalkot,2011 - 2012,soyabean,kharif,3026.0,2636.0,0.87
Bagalkot,2011 - 2012,sugarcane,whole_year,89361.0,8064830.0,90.25
Bagalkot,2011 - 2012,sunflower,kharif,20603.0,9979.0,0.48
Bagalkot,2011 - 2012,sunflower,rabi,26904.0,13012.0,0.48
Bagalkot,2011 - 2012,sweetpotato,whole_year,31.0,452.0,14.58
Bagalkot,2011 - 2012,turmeric,whole_year,3225.0,22475.0,6.97
Bagalkot,2011 - 2012,urad,kharif,32.0,12.0,0.38
Bagalkot,2011 - 2012,wheat,rabi,25676.0,41483.0,1.62
Bagalkot,2012 - 2013,arhar_tur,kharif,949.0,209.0,0.22
Bagalkot,2012 - 2013,bajra,kharif,19091.0,18227.0,0.95
Bagalkot,2012 - 2013,cashewnut,whole_year,2.0,2.0,1.0
Bagalkot,2012 - 2013,coconut,whole_year,664.0,6537000.0,9844.88
Bagalkot,2012 - 2013,coriander,whole_year,145.0,57.0,0.39
Bagalkot,2012 - 2013,cotton,kharif,477.0,909.0,1.91
Bagalkot,2012 - 2013,cotton,rabi,328.0,409.0,1.25
Bagalkot,2012 - 2013,cowpea,kharif,166.0,45.0,0.27
Bagalkot,2012 - 2013,cowpea,rabi,154.0,51.0,0.33
Bagalkot,2012 - 2013,drychillies,kharif,1387.0,4923.0,3.55
Bagalkot,2012 - 2013,drychillies,rabi,610.0,1075.0,1.76
Bagalkot,2012 - 2013,garlic,whole_year,10.0,13.0,1.3
Bagalkot,2012 - 2013,gram,rabi,73967.0,39069.0,0.53
Bagalkot,2012 - 2013,groundnut,kharif,1306.0,721.0,0.55
Bagalkot,2012 - 2013,horse-gram,kharif,310.0,67.0,0.22
Bagalkot,2012 - 2013,horse-gram,rabi,946.0,182.0,0.19
Bagalkot,2012 - 2013,jowar,kharif,1708.0,3141.0,1.84
Bagalkot,2012 - 2013,jowar,rabi,118324.0,151076.0,1.28
Bagalkot,2012 - 2013,linseed,rabi,2393.0,334.0,0.14
