District,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),S.No.,Total Project Area,Plot Area,Protective Irrigation,Assured Irrigation,No Irrigation,Private,Government,Community,Others,Culturable Wasteland,Degraded Land,Rainfed Land,Plantation,No Plantation,Others.1,No Crops,Single Crops,Double Crops,Multiple Crops,Pre-Monsoon Normal (%),Pre-Monsoon Actual (%),Pre-Monsoon Departure (%),SWM Normal,SWM Actual,SWM Departure (%),NEM Normal (mm),NEM Actual (mm),NEM Departure(%),Total Normal (mm),Total Actual (mm),Total Departure (%),Normal/Excess,Cluster
Bagalkot,6.514345794392523,,52.72789719626169,21.678322811850467,1,7500.0,7500.0,282.2,7.28,7210.52,7115.18,383.31,0.0,1.51,131.41,101.15,6924.28,0.0,312.54,30.62,71.77,6614.56,508.5,0.0,79.8,99.0,24.0,362.0,385.0,6.0,140.8,119.4,-15.0,582.0,603.0,4.0,N,0
Ballari,3.392570093457944,,30.430560747663552,22.184158951747666,2,5000.0,5000.0,4590.28,6.0,403.72,4588.89,404.95,6.16,0.0,0.0,77.19,4498.67,2.48,1.0,420.66,423.86,4560.66,12.0,0.0,74.5,72.0,-3.0,366.0,424.0,16.0,159.4,166.4,4.0,600.0,663.0,11.0,N,0
Belagavi,6.070981308411215,,51.83495327102804,26.955294252490653,3,21710.0,21720.91,20070.22,665.52,985.17,21232.65,457.82,28.98,1.46,77.36,42.51,20789.47,158.85,3.33,649.39,242.5,9462.86,11908.66,0.0,94.8,121.7,28.0,599.0,830.0,39.0,132.8,213.3,61.0,826.0,1165.0,41.0,E,0
Bengaluru Rural,5.977289719626168,,47.20934579439252,28.50715955719159,4,5990.0,3460.26,2.51,0.0,3457.75,2273.05,1013.01,136.0,38.2,59.44,0.0,2275.36,205.0,0.0,920.46,982.21,2273.05,0.0,0.0,141.5,151.5,7.0,444.0,412.0,-7.0,213.3,320.1,50.0,799.0,884.0,11.0,N,0
Bidar,5.772102803738318,,49.66495327102803,22.987021375205607,5,12617.0,10481.94,0.0,0.0,10481.94,9392.66,1039.8,39.71,0.0,120.24,8.9,9383.76,35.91,903.36,20.0,162.92,9202.52,180.7,0.0,71.2,71.9,1.0,650.0,679.0,4.0,116.6,87.9,-25.0,838.0,839.0,0.0,N,0
Chamarajanagar,4.1909345794392525,,33.28457943925233,30.60750654584112,6,13899.72,10424.9928,9485.9028,898.122,40.968,9136.272,0.528,1288.1928,0.0,0.4,24.542,8907.9708,1491.7,0.0,0.38,5.1308,8435.362,446.1,46.7,203.5,204.4,0.0,320.0,345.0,8.0,263.0,287.2,9.0,787.0,836.0,6.0,N,0
Chikballapur,3.085560747663551,,24.442429906542056,24.96390591206542,7,10961.0,8503.95,1386.91,2.66,7114.38,8498.51,0.44,0.0,0.0,0.0,9.31,7267.71,6.32,0.0,1215.61,80.21,7395.23,916.19,101.0,108.4,99.0,-9.0,416.0,381.0,-8.0,211.2,275.3,30.0,736.0,755.0,3.0,N,0
Chikkamagaluru,2.955607476635514,,23.20953271028037,32.07469326130841,8,11028.0,11049.73,5163.32,48.84,5837.57,10379.19,670.32,0.0,0.22,2.0,19.51,10127.37,0.0,0.0,900.85,910.86,10138.87,0.0,0.0,164.4,289.6,76.0,1447.0,1633.0,13.0,221.1,327.7,48.0,1833.0,2250.0,23.0,E,-1
Chitradurga,3.5933177570093457,,27.928644859813083,23.70946373210748,9,10822.0,10328.62,3587.7,0.8,6740.12,8525.88,1701.03,101.71,0.0,1790.04,6.05,8531.73,0.0,0.0,0.8,1981.68,7894.56,448.4,3.98,103.3,150.3,45.0,282.0,323.0,14.0,154.8,225.0,45.0,540.0,698.0,29.0,E,0
Dakshina Kannada,0.5025700934579439,,4.829672897196262,31.748883371308413,10,9211.0,11506.71,2943.14,6086.64,2476.93,6252.24,5190.03,56.68,7.76,24.35,5.13,9227.13,138.75,2101.46,9.89,3436.01,3668.0,2164.25,8.24,242.5,386.9,60.0,3388.0,3756.0,11.0,375.9,522.9,39.0,4006.0,4666.0,16.0,N,-1
Davanagere,5.6593925233644855,,43.79841121495328,27.52559675962617,11,11753.0,11791.45,118.67,52.18,11620.6,10703.09,268.54,751.74,68.08,10.0,670.86,10953.35,0.0,0.0,157.24,1101.0,10690.45,0.0,0.0,105.0,145.3,38.0,393.0,506.0,29.0,161.1,301.0,87.0,659.0,952.0,45.0,E,0
Dharwad,7.586915887850467,,59.18939252336449,27.68709953351869,12,7098.0,2778.48,2753.01,5.19,20.28,2778.48,0.0,0.0,0.0,86.55,2.01,2689.92,0.0,0.0,0.0,87.92,2690.56,0.0,0.0,125.4,125.9,0.0,514.0,522.0,2.0,147.8,242.1,64.0,787.0,890.0,13.0,N,0
Gadag,7.638831775700935,,55.77439252336448,23.104356913514017,13,5600.0,3122.7,1.38,0.0,3121.32,3107.51,15.19,0.0,0.0,0.0,6.34,3101.17,0.0,0.0,15.19,600.45,1063.92,1458.33,0.0,105.5,102.0,-3.0,372.0,339.0,-9.0,147.0,141.8,-4.0,624.0,583.0,-7.0,N,0
Hassan,1.8332710280373832,,15.689439252336449,29.57252210869159,14,11787.0,11786.33,1833.2,4.32,9948.81,10091.03,1432.55,4.5,258.25,229.57,757.49,9361.5,325.52,95.99,1016.26,1283.38,9834.53,246.91,0.0,168.4,293.3,74.0,754.0,997.0,32.0,219.8,289.4,32.0,1142.0,1580.0,38.0,E,-1
