Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hassan,Arasikere,Potato,Local,FAQ,2500,5000,2500,11 Nov 2024
2,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3000,2500,16 Nov 2024
3,Bangalore,Bangalore,Potato,Local,FAQ,1600,3000,2300,30 Sep 2024
4,Bangalore,Bangalore,Potato,Local,FAQ,1600,3400,2800,09 Sep 2024
5,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3000,2500,21 Oct 2024
6,Bangalore,Bangalore,Potato,Potato,FAQ,3000,3600,3300,31 Dec 2024
7,Bangalore,Bangalore,Potato,Potato,FAQ,4000,6000,5000,17 Dec 2024
8,Bangalore,Bangalore,Potato,Potato,Ref grade-1,1600,2000,1800,04 Feb 2025
9,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,22 Feb 2025
10,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,18 Jan 2025
11,Belgaum,Belgaum,Potato,Local,FAQ,2000,3000,2500,25 Sep 2024
12,Belgaum,Belgaum,Potato,Local,FAQ,2000,3500,3000,05 Nov 2024
13,Belgaum,Belgaum,Potato,Local,FAQ,2000,3700,3500,04 Dec 2024
14,Belgaum,Belgaum,Potato,Local,FAQ,2200,3800,3200,18 Oct 2024
15,Belgaum,Belgaum,Potato,Local,FAQ,3000,4000,3000,07 Oct 2024
16,Belgaum,Belgaum,Potato,Local,Ref grade-1,1500,2200,2000,01 Feb 2025
17,Hassan,Belur,Potato,Chandermukhi,FAQ,1500,1500,1500,18 Dec 2024
18,Hassan,Channarayapatna,Potato,Local,Local,2000,2000,2000,23 Jul 2025
19,Kolar,Chickkaballapura,Potato,Local,FAQ,300,1500,1300,05 Apr 2025
20,Kolar,Chickkaballapura,Potato,Local,FAQ,400,1400,1000,28 Mar 2025
21,Kolar,Chickkaballapura,Potato,Local,FAQ,400,1700,1500,28 Feb 2025
22,Kolar,Chickkaballapura,Potato,Local,FAQ,500,1800,1600,28 Apr 2025
23,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2500,14 Dec 2024
24,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3400,3000,18 Nov 2024
25,Kolar,Chickkaballapura,Potato,Local,FAQ,3000,3600,3400,25 Oct 2024
26,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,19 Jun 2025
27,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2281,2481,2381,19 May 2025
28,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2437,2637,2537,15 Mar 2025
29,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,13 Feb 2025
30,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2588,2788,2688,07 Feb 2025
31,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2778,2778,2778,23 Dec 2024
32,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2799,2999,2899,31 Aug 2024
33,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2987,3187,3087,29 Aug 2024
34,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,10 Dec 2024
35,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,01 Jul 2025
36,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,17 Jan 2025
37,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,18 Mar 2025
38,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,20 Mar 2025
39,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,20 Sep 2024
40,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2300,04 Apr 2025
41,Davangere,Davangere,Potato,Potato,Local,2000,2800,2500,22 Jul 2025
42,Kolar,Gowribidanoor,Potato,Potato,FAQ,1500,2000,1850,05 Jun 2025
43,Chamrajnagar,Gundlupet,Potato,Potato,FAQ,3000,3000,3000,16 Dec 2024
44,Hassan,Hassan,Potato,Potato,FAQ,900,1600,1500,13 Jun 2025
45,Hassan,Hassan,Potato,Potato,FAQ,2100,2600,2100,15 Oct 2024
46,Hassan,Hassan,Potato,Potato,Local,900,1148,1100,21 Jul 2025
47,Bangalore,Hoskote,Potato,Local,FAQ,4400,4400,4400,09 Aug 2024
48,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1000,1200,1100,07 Apr 2025
49,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,1900,1700,28 Mar 2025
50,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,2900,2100,02 Dec 2024
51,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1800,1750,06 Jun 2025
52,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,2200,2000,22 Jan 2025
53,Hassan,Arasikere,Potato,Local,FAQ,2000,3000,2500,15 Oct 2024
54,Hassan,Arasikere,Potato,Local,FAQ,2000,3200,2000,21 Sep 2024
55,Hassan,Arasikere,Potato,Local,FAQ,3000,3000,3000,05 Nov 2024
56,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1700,2800,1900,19 Sep 2024
57,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1800,2800,2500,05 Oct 2024
58,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3500,2750,17 Dec 2024
59,Bangalore,Bangalore,Potato,Local,FAQ,1400,1600,1500,21 Feb 2025
60,Bangalore,Bangalore,Potato,Local,FAQ,2000,3000,2500,28 Oct 2024
61,Bangalore,Bangalore,Potato,Local,FAQ,2400,3200,2800,06 Jan 2025
62,Bangalore,Bangalore,Potato,Local,FAQ,3000,3600,3000,22 Oct 2024
63,Bangalore,Bangalore,Potato,Local,FAQ,3600,4000,3800,18 Oct 2024
64,Bangalore,Bangalore,Potato,Local,FAQ,3600,5000,4300,06 Dec 2024
65,Bangalore,Bangalore,Potato,Potato,FAQ,1400,1800,1700,18 Feb 2025
66,Bangalore,Bangalore,Potato,Potato,FAQ,1600,3000,2500,10 Jan 2025
67,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3200,3000,31 Jul 2024
68,Bangalore,Bangalore,Potato,Potato,FAQ,4000,6000,5000,16 Dec 2024
69,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,21 Feb 2025
70,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,08 Feb 2025
71,Belgaum,Belgaum,Potato,Local,FAQ,2000,2500,2200,08 Jan 2025
72,Belgaum,Belgaum,Potato,Local,FAQ,2000,3500,3000,08 Dec 2024
73,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,30 Aug 2024
74,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,31 Aug 2024
75,Belgaum,Belgaum,Potato,Local,FAQ,2500,3600,3000,11 Sep 2024
76,Belgaum,Belgaum,Potato,Local,FAQ,2500,4000,3500,21 Oct 2024
77,Hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,24 Apr 2025
78,Kolar,Chickkaballapura,Potato,Jalander,FAQ,1600,1800,1700,03 Oct 2024
